Empirical aplication  indonesianRice  has began at: 2023-06-30 16:36:20 
Batch 0 / 1000  time:  2023-06-30 16:36:20 
Batch 1 / 1000  time:  2023-06-30 16:46:12 
Batch 2 / 1000  time:  2023-06-30 16:56:02 
Batch 3 / 1000  time:  2023-06-30 17:05:50 
Batch 4 / 1000  time:  2023-06-30 17:15:47 
Batch 5 / 1000  time:  2023-06-30 17:25:36 
Batch 6 / 1000  time:  2023-06-30 17:35:29 
Batch 7 / 1000  time:  2023-06-30 17:45:22 
Batch 8 / 1000  time:  2023-06-30 17:55:10 
Batch 9 / 1000  time:  2023-06-30 18:04:58 
Batch 10 / 1000  time:  2023-06-30 18:14:54 
Batch 11 / 1000  time:  2023-06-30 18:24:46 
Batch 12 / 1000  time:  2023-06-30 18:34:35 
Batch 13 / 1000  time:  2023-06-30 18:44:23 
Batch 14 / 1000  time:  2023-06-30 18:54:12 
Batch 15 / 1000  time:  2023-06-30 19:04:08 
Batch 16 / 1000  time:  2023-06-30 19:13:59 
Batch 17 / 1000  time:  2023-06-30 19:23:50 
Batch 18 / 1000  time:  2023-06-30 19:33:48 
Batch 19 / 1000  time:  2023-06-30 19:43:38 
Batch 20 / 1000  time:  2023-06-30 19:53:29 
Batch 21 / 1000  time:  2023-06-30 20:03:17 
Batch 22 / 1000  time:  2023-06-30 20:13:07 
Batch 23 / 1000  time:  2023-06-30 20:22:57 
Batch 24 / 1000  time:  2023-06-30 20:32:51 
Batch 25 / 1000  time:  2023-06-30 20:42:42 
Batch 26 / 1000  time:  2023-06-30 20:52:34 
Batch 27 / 1000  time:  2023-06-30 21:02:28 
Batch 28 / 1000  time:  2023-06-30 21:12:15 
Batch 29 / 1000  time:  2023-06-30 21:22:04 
Batch 30 / 1000  time:  2023-06-30 21:31:51 
Batch 31 / 1000  time:  2023-06-30 21:41:39 
Batch 32 / 1000  time:  2023-06-30 21:51:27 
Batch 33 / 1000  time:  2023-06-30 22:01:17 
Batch 34 / 1000  time:  2023-06-30 22:11:02 
Batch 35 / 1000  time:  2023-06-30 22:20:52 
Batch 36 / 1000  time:  2023-06-30 22:30:41 
Batch 37 / 1000  time:  2023-06-30 22:40:34 
Batch 38 / 1000  time:  2023-06-30 22:50:15 
Batch 39 / 1000  time:  2023-06-30 22:59:54 
Batch 40 / 1000  time:  2023-06-30 23:09:28 
Batch 41 / 1000  time:  2023-06-30 23:19:08 
Batch 42 / 1000  time:  2023-06-30 23:28:47 
Batch 43 / 1000  time:  2023-06-30 23:38:26 
Batch 44 / 1000  time:  2023-06-30 23:48:05 
Batch 45 / 1000  time:  2023-06-30 23:57:42 
Batch 46 / 1000  time:  2023-07-01 00:07:28 
Batch 47 / 1000  time:  2023-07-01 00:17:14 
Batch 48 / 1000  time:  2023-07-01 00:26:55 
Batch 49 / 1000  time:  2023-07-01 00:36:41 
Batch 50 / 1000  time:  2023-07-01 00:46:23 
Batch 51 / 1000  time:  2023-07-01 00:56:04 
Batch 52 / 1000  time:  2023-07-01 01:05:47 
Batch 53 / 1000  time:  2023-07-01 01:15:42 
Batch 54 / 1000  time:  2023-07-01 01:25:18 
Batch 55 / 1000  time:  2023-07-01 01:35:08 
Batch 56 / 1000  time:  2023-07-01 01:44:49 
Batch 57 / 1000  time:  2023-07-01 01:54:46 
Batch 58 / 1000  time:  2023-07-01 02:04:24 
Batch 59 / 1000  time:  2023-07-01 02:14:15 
Batch 60 / 1000  time:  2023-07-01 02:23:54 
Batch 61 / 1000  time:  2023-07-01 02:33:30 
Batch 62 / 1000  time:  2023-07-01 02:43:12 
Batch 63 / 1000  time:  2023-07-01 02:52:52 
Batch 64 / 1000  time:  2023-07-01 03:02:29 
Batch 65 / 1000  time:  2023-07-01 03:12:09 
Batch 66 / 1000  time:  2023-07-01 03:21:49 
Batch 67 / 1000  time:  2023-07-01 03:31:23 
Batch 68 / 1000  time:  2023-07-01 03:40:58 
Batch 69 / 1000  time:  2023-07-01 03:50:41 
Batch 70 / 1000  time:  2023-07-01 04:00:21 
Batch 71 / 1000  time:  2023-07-01 04:09:57 
Batch 72 / 1000  time:  2023-07-01 04:19:43 
Batch 73 / 1000  time:  2023-07-01 04:29:19 
Batch 74 / 1000  time:  2023-07-01 04:39:00 
Batch 75 / 1000  time:  2023-07-01 04:48:45 
Batch 76 / 1000  time:  2023-07-01 04:58:31 
Batch 77 / 1000  time:  2023-07-01 05:08:05 
Batch 78 / 1000  time:  2023-07-01 05:17:38 
Batch 79 / 1000  time:  2023-07-01 05:27:12 
Batch 80 / 1000  time:  2023-07-01 05:36:54 
Batch 81 / 1000  time:  2023-07-01 05:46:39 
Batch 82 / 1000  time:  2023-07-01 05:56:14 
Batch 83 / 1000  time:  2023-07-01 06:05:54 
Batch 84 / 1000  time:  2023-07-01 06:15:35 
Batch 85 / 1000  time:  2023-07-01 06:25:11 
Batch 86 / 1000  time:  2023-07-01 06:34:56 
Batch 87 / 1000  time:  2023-07-01 06:44:30 
Batch 88 / 1000  time:  2023-07-01 06:54:10 
Batch 89 / 1000  time:  2023-07-01 07:03:49 
Batch 90 / 1000  time:  2023-07-01 07:13:27 
Batch 91 / 1000  time:  2023-07-01 07:23:04 
Batch 92 / 1000  time:  2023-07-01 07:32:39 
Batch 93 / 1000  time:  2023-07-01 07:42:19 
Batch 94 / 1000  time:  2023-07-01 07:51:55 
Batch 95 / 1000  time:  2023-07-01 08:01:31 
Batch 96 / 1000  time:  2023-07-01 08:11:06 
Batch 97 / 1000  time:  2023-07-01 08:20:41 
Batch 98 / 1000  time:  2023-07-01 08:30:20 
Batch 99 / 1000  time:  2023-07-01 08:40:00 
Batch 100 / 1000  time:  2023-07-01 08:49:34 
Batch 101 / 1000  time:  2023-07-01 08:59:08 
Batch 102 / 1000  time:  2023-07-01 09:08:44 
Batch 103 / 1000  time:  2023-07-01 09:18:18 
Batch 104 / 1000  time:  2023-07-01 09:27:57 
Batch 105 / 1000  time:  2023-07-01 09:37:35 
Batch 106 / 1000  time:  2023-07-01 09:47:20 
Batch 107 / 1000  time:  2023-07-01 09:56:54 
Batch 108 / 1000  time:  2023-07-01 10:06:27 
Batch 109 / 1000  time:  2023-07-01 10:16:07 
Batch 110 / 1000  time:  2023-07-01 10:25:51 
Batch 111 / 1000  time:  2023-07-01 10:35:28 
Batch 112 / 1000  time:  2023-07-01 10:45:12 
Batch 113 / 1000  time:  2023-07-01 10:54:53 
Batch 114 / 1000  time:  2023-07-01 11:04:28 
Batch 115 / 1000  time:  2023-07-01 11:14:02 
Batch 116 / 1000  time:  2023-07-01 11:23:40 
Batch 117 / 1000  time:  2023-07-01 11:33:20 
Batch 118 / 1000  time:  2023-07-01 11:42:53 
Batch 119 / 1000  time:  2023-07-01 11:52:32 
Batch 120 / 1000  time:  2023-07-01 12:02:15 
Batch 121 / 1000  time:  2023-07-01 12:12:00 
Batch 122 / 1000  time:  2023-07-01 12:21:43 
Batch 123 / 1000  time:  2023-07-01 12:31:28 
Batch 124 / 1000  time:  2023-07-01 12:41:07 
Batch 125 / 1000  time:  2023-07-01 12:50:51 
Batch 126 / 1000  time:  2023-07-01 13:00:24 
Batch 127 / 1000  time:  2023-07-01 13:09:58 
Batch 128 / 1000  time:  2023-07-01 13:19:33 
Batch 129 / 1000  time:  2023-07-01 13:29:07 
Batch 130 / 1000  time:  2023-07-01 13:38:42 
Batch 131 / 1000  time:  2023-07-01 13:48:15 
Batch 132 / 1000  time:  2023-07-01 13:57:55 
Batch 133 / 1000  time:  2023-07-01 14:07:31 
Batch 134 / 1000  time:  2023-07-01 14:17:10 
Batch 135 / 1000  time:  2023-07-01 14:26:49 
Batch 136 / 1000  time:  2023-07-01 14:36:23 
Batch 137 / 1000  time:  2023-07-01 14:46:02 
Batch 138 / 1000  time:  2023-07-01 14:55:39 
Batch 139 / 1000  time:  2023-07-01 15:05:22 
Batch 140 / 1000  time:  2023-07-01 15:14:54 
Batch 141 / 1000  time:  2023-07-01 15:24:32 
Batch 142 / 1000  time:  2023-07-01 15:34:16 
Batch 143 / 1000  time:  2023-07-01 15:43:55 
Batch 144 / 1000  time:  2023-07-01 15:53:30 
Batch 145 / 1000  time:  2023-07-01 16:03:08 
Batch 146 / 1000  time:  2023-07-01 16:12:46 
Batch 147 / 1000  time:  2023-07-01 16:22:26 
Batch 148 / 1000  time:  2023-07-01 16:32:10 
Batch 149 / 1000  time:  2023-07-01 16:41:50 
Batch 150 / 1000  time:  2023-07-01 16:51:24 
Batch 151 / 1000  time:  2023-07-01 17:01:07 
Batch 152 / 1000  time:  2023-07-01 17:10:46 
Batch 153 / 1000  time:  2023-07-01 17:20:41 
Batch 154 / 1000  time:  2023-07-01 17:30:20 
Batch 155 / 1000  time:  2023-07-01 17:39:55 
Batch 156 / 1000  time:  2023-07-01 17:49:31 
Batch 157 / 1000  time:  2023-07-01 17:59:07 
Batch 158 / 1000  time:  2023-07-01 18:08:43 
Batch 159 / 1000  time:  2023-07-01 18:18:28 
Batch 160 / 1000  time:  2023-07-01 18:28:14 
Batch 161 / 1000  time:  2023-07-01 18:37:48 
Batch 162 / 1000  time:  2023-07-01 18:47:28 
Batch 163 / 1000  time:  2023-07-01 18:57:09 
Batch 164 / 1000  time:  2023-07-01 19:06:49 
Batch 165 / 1000  time:  2023-07-01 19:16:34 
Batch 166 / 1000  time:  2023-07-01 19:26:17 
Batch 167 / 1000  time:  2023-07-01 19:35:54 
Batch 168 / 1000  time:  2023-07-01 19:45:37 
Batch 169 / 1000  time:  2023-07-01 19:55:14 
Batch 170 / 1000  time:  2023-07-01 20:04:56 
Batch 171 / 1000  time:  2023-07-01 20:14:44 
Batch 172 / 1000  time:  2023-07-01 20:24:25 
Batch 173 / 1000  time:  2023-07-01 20:34:12 
Batch 174 / 1000  time:  2023-07-01 20:43:55 
Batch 175 / 1000  time:  2023-07-01 20:53:33 
Batch 176 / 1000  time:  2023-07-01 21:03:07 
Batch 177 / 1000  time:  2023-07-01 21:12:43 
Batch 178 / 1000  time:  2023-07-01 21:22:22 
Batch 179 / 1000  time:  2023-07-01 21:32:03 
Batch 180 / 1000  time:  2023-07-01 21:41:37 
Batch 181 / 1000  time:  2023-07-01 21:51:14 
Batch 182 / 1000  time:  2023-07-01 22:00:53 
Batch 183 / 1000  time:  2023-07-01 22:10:38 
Batch 184 / 1000  time:  2023-07-01 22:20:27 
Batch 185 / 1000  time:  2023-07-01 22:30:15 
Batch 186 / 1000  time:  2023-07-01 22:39:49 
Batch 187 / 1000  time:  2023-07-01 22:49:30 
Batch 188 / 1000  time:  2023-07-01 22:59:09 
Batch 189 / 1000  time:  2023-07-01 23:08:59 
Batch 190 / 1000  time:  2023-07-01 23:18:39 
