Empirical aplication  spainDairy  has began at: 2023-06-16 22:12:27 
Batch 0 / 1000  time:  2023-06-16 22:12:27 
Batch 1 / 1000  time:  2023-06-16 22:27:03 
Batch 2 / 1000  time:  2023-06-16 22:41:36 
Batch 3 / 1000  time:  2023-06-16 22:56:15 
Batch 4 / 1000  time:  2023-06-16 23:10:54 
Batch 5 / 1000  time:  2023-06-16 23:25:28 
Batch 6 / 1000  time:  2023-06-16 23:40:00 
Batch 7 / 1000  time:  2023-06-16 23:54:41 
Batch 8 / 1000  time:  2023-06-17 00:09:13 
Batch 9 / 1000  time:  2023-06-17 00:23:48 
Batch 10 / 1000  time:  2023-06-17 00:38:28 
Batch 11 / 1000  time:  2023-06-17 00:53:02 
Batch 12 / 1000  time:  2023-06-17 01:07:33 
Batch 13 / 1000  time:  2023-06-17 01:22:13 
Batch 14 / 1000  time:  2023-06-17 01:36:44 
Batch 15 / 1000  time:  2023-06-17 01:51:14 
Batch 16 / 1000  time:  2023-06-17 02:05:50 
Batch 17 / 1000  time:  2023-06-17 02:20:26 
Batch 18 / 1000  time:  2023-06-17 02:35:01 
Batch 19 / 1000  time:  2023-06-17 02:49:32 
Batch 20 / 1000  time:  2023-06-17 03:04:08 
Batch 21 / 1000  time:  2023-06-17 03:18:44 
Batch 22 / 1000  time:  2023-06-17 03:33:25 
Batch 23 / 1000  time:  2023-06-17 03:47:59 
Batch 24 / 1000  time:  2023-06-17 04:02:37 
Batch 25 / 1000  time:  2023-06-17 04:17:10 
Batch 26 / 1000  time:  2023-06-17 04:31:55 
Batch 27 / 1000  time:  2023-06-17 04:46:28 
Batch 28 / 1000  time:  2023-06-17 05:01:05 
Batch 29 / 1000  time:  2023-06-17 05:15:43 
Batch 30 / 1000  time:  2023-06-17 05:30:20 
Batch 31 / 1000  time:  2023-06-17 05:44:49 
Batch 32 / 1000  time:  2023-06-17 05:59:35 
Batch 33 / 1000  time:  2023-06-17 06:14:03 
Batch 34 / 1000  time:  2023-06-17 06:28:43 
Batch 35 / 1000  time:  2023-06-17 06:43:10 
Batch 36 / 1000  time:  2023-06-17 06:57:38 
Batch 37 / 1000  time:  2023-06-17 07:11:55 
Batch 38 / 1000  time:  2023-06-17 07:26:14 
Batch 39 / 1000  time:  2023-06-17 07:40:32 
Batch 40 / 1000  time:  2023-06-17 07:54:58 
Batch 41 / 1000  time:  2023-06-17 08:09:14 
Batch 42 / 1000  time:  2023-06-17 08:23:29 
Batch 43 / 1000  time:  2023-06-17 08:37:43 
Batch 44 / 1000  time:  2023-06-17 08:52:07 
Batch 45 / 1000  time:  2023-06-17 09:06:26 
Batch 46 / 1000  time:  2023-06-17 09:20:39 
