Empirical aplication  swissRailWays  has began at: 2023-06-15 18:49:49 
Batch 0 / 2000  time:  2023-06-15 18:49:50 
Batch 1 / 2000  time:  2023-06-15 18:59:57 
Batch 2 / 2000  time:  2023-06-15 19:10:04 
Batch 3 / 2000  time:  2023-06-15 19:20:11 
Batch 4 / 2000  time:  2023-06-15 19:30:18 
Batch 5 / 2000  time:  2023-06-15 19:40:28 
Batch 6 / 2000  time:  2023-06-15 19:50:35 
Batch 7 / 2000  time:  2023-06-15 20:00:40 
Batch 8 / 2000  time:  2023-06-15 20:10:49 
Batch 9 / 2000  time:  2023-06-15 20:20:54 
Batch 10 / 2000  time:  2023-06-15 20:31:06 
Batch 11 / 2000  time:  2023-06-15 20:41:10 
Batch 12 / 2000  time:  2023-06-15 20:51:17 
Batch 13 / 2000  time:  2023-06-15 21:01:31 
Batch 14 / 2000  time:  2023-06-15 21:11:36 
Batch 15 / 2000  time:  2023-06-15 21:21:39 
Batch 16 / 2000  time:  2023-06-15 21:31:44 
Batch 17 / 2000  time:  2023-06-15 21:41:49 
Batch 18 / 2000  time:  2023-06-15 21:51:53 
Batch 19 / 2000  time:  2023-06-15 22:02:06 
Batch 20 / 2000  time:  2023-06-15 22:12:12 
Batch 21 / 2000  time:  2023-06-15 22:22:22 
Batch 22 / 2000  time:  2023-06-15 22:32:27 
Batch 23 / 2000  time:  2023-06-15 22:42:37 
Batch 24 / 2000  time:  2023-06-15 22:52:38 
Batch 25 / 2000  time:  2023-06-15 23:02:42 
Batch 26 / 2000  time:  2023-06-15 23:12:47 
Batch 27 / 2000  time:  2023-06-15 23:22:48 
Batch 28 / 2000  time:  2023-06-15 23:32:58 
Batch 29 / 2000  time:  2023-06-15 23:43:05 
Batch 30 / 2000  time:  2023-06-15 23:53:10 
Batch 31 / 2000  time:  2023-06-16 00:03:12 
Batch 32 / 2000  time:  2023-06-16 00:13:20 
Batch 33 / 2000  time:  2023-06-16 00:23:27 
Batch 34 / 2000  time:  2023-06-16 00:33:30 
Batch 35 / 2000  time:  2023-06-16 00:43:27 
Batch 36 / 2000  time:  2023-06-16 00:53:21 
Batch 37 / 2000  time:  2023-06-16 01:03:18 
Batch 38 / 2000  time:  2023-06-16 01:13:15 
Batch 39 / 2000  time:  2023-06-16 01:23:15 
Batch 40 / 2000  time:  2023-06-16 01:33:07 
Batch 41 / 2000  time:  2023-06-16 01:43:07 
Batch 42 / 2000  time:  2023-06-16 01:53:06 
Batch 43 / 2000  time:  2023-06-16 02:02:59 
Batch 44 / 2000  time:  2023-06-16 02:12:51 
Batch 45 / 2000  time:  2023-06-16 02:22:48 
Batch 46 / 2000  time:  2023-06-16 02:32:45 
Batch 47 / 2000  time:  2023-06-16 02:42:45 
Batch 48 / 2000  time:  2023-06-16 02:52:44 
Batch 49 / 2000  time:  2023-06-16 03:02:42 
Batch 50 / 2000  time:  2023-06-16 03:12:34 
Batch 51 / 2000  time:  2023-06-16 03:22:26 
Batch 52 / 2000  time:  2023-06-16 03:32:24 
Batch 53 / 2000  time:  2023-06-16 03:42:22 
Batch 54 / 2000  time:  2023-06-16 03:52:15 
Batch 55 / 2000  time:  2023-06-16 04:02:08 
Batch 56 / 2000  time:  2023-06-16 04:12:06 
Batch 57 / 2000  time:  2023-06-16 04:22:06 
Batch 58 / 2000  time:  2023-06-16 04:32:04 
Batch 59 / 2000  time:  2023-06-16 04:42:03 
Batch 60 / 2000  time:  2023-06-16 04:51:57 
Batch 61 / 2000  time:  2023-06-16 05:01:51 
Batch 62 / 2000  time:  2023-06-16 05:11:49 
Batch 63 / 2000  time:  2023-06-16 05:21:45 
Batch 64 / 2000  time:  2023-06-16 05:31:43 
Batch 65 / 2000  time:  2023-06-16 05:41:36 
Batch 66 / 2000  time:  2023-06-16 05:51:29 
Batch 67 / 2000  time:  2023-06-16 06:01:21 
Batch 68 / 2000  time:  2023-06-16 06:11:16 
Batch 69 / 2000  time:  2023-06-16 06:21:10 
Batch 70 / 2000  time:  2023-06-16 06:31:03 
Batch 71 / 2000  time:  2023-06-16 06:40:56 
Batch 72 / 2000  time:  2023-06-16 06:50:50 
Batch 73 / 2000  time:  2023-06-16 07:00:46 
Batch 74 / 2000  time:  2023-06-16 07:10:39 
Batch 75 / 2000  time:  2023-06-16 07:20:35 
Batch 76 / 2000  time:  2023-06-16 07:30:34 
Batch 77 / 2000  time:  2023-06-16 07:40:28 
Batch 78 / 2000  time:  2023-06-16 07:50:21 
Batch 79 / 2000  time:  2023-06-16 08:00:19 
Batch 80 / 2000  time:  2023-06-16 08:10:13 
Batch 81 / 2000  time:  2023-06-16 08:20:09 
Batch 82 / 2000  time:  2023-06-16 08:30:01 
Batch 83 / 2000  time:  2023-06-16 08:39:59 
Batch 84 / 2000  time:  2023-06-16 08:50:01 
Batch 85 / 2000  time:  2023-06-16 08:59:54 
