Empirical aplication  usElectricity  has began at: 2023-06-30 14:50:49 
Batch 0 / 1000  time:  2023-06-30 14:50:50 
Batch 1 / 1000  time:  2023-06-30 15:02:55 
Batch 2 / 1000  time:  2023-06-30 15:14:59 
Batch 3 / 1000  time:  2023-06-30 15:26:57 
Batch 4 / 1000  time:  2023-06-30 15:39:05 
Batch 5 / 1000  time:  2023-06-30 15:51:08 
Batch 6 / 1000  time:  2023-06-30 16:03:09 
Batch 7 / 1000  time:  2023-06-30 16:15:08 
Batch 8 / 1000  time:  2023-06-30 16:27:07 
Batch 9 / 1000  time:  2023-06-30 16:39:05 
Batch 10 / 1000  time:  2023-06-30 16:51:05 
Batch 11 / 1000  time:  2023-06-30 17:03:07 
Batch 12 / 1000  time:  2023-06-30 17:15:11 
Batch 13 / 1000  time:  2023-06-30 17:27:12 
Batch 14 / 1000  time:  2023-06-30 17:39:21 
Batch 15 / 1000  time:  2023-06-30 17:51:26 
Batch 16 / 1000  time:  2023-06-30 18:03:22 
Batch 17 / 1000  time:  2023-06-30 18:15:20 
Batch 18 / 1000  time:  2023-06-30 18:27:30 
Batch 19 / 1000  time:  2023-06-30 18:39:25 
Batch 20 / 1000  time:  2023-06-30 18:51:23 
Batch 21 / 1000  time:  2023-06-30 19:03:20 
Batch 22 / 1000  time:  2023-06-30 19:15:18 
Batch 23 / 1000  time:  2023-06-30 19:27:15 
Batch 24 / 1000  time:  2023-06-30 19:39:12 
Batch 25 / 1000  time:  2023-06-30 19:51:12 
Batch 26 / 1000  time:  2023-06-30 20:03:11 
Batch 27 / 1000  time:  2023-06-30 20:15:14 
Batch 28 / 1000  time:  2023-06-30 20:27:13 
Batch 29 / 1000  time:  2023-06-30 20:39:09 
Batch 30 / 1000  time:  2023-06-30 20:51:13 
Batch 31 / 1000  time:  2023-06-30 21:03:09 
Batch 32 / 1000  time:  2023-06-30 21:15:11 
Batch 33 / 1000  time:  2023-06-30 21:27:12 
Batch 34 / 1000  time:  2023-06-30 21:39:05 
Batch 35 / 1000  time:  2023-06-30 21:50:49 
Batch 36 / 1000  time:  2023-06-30 22:02:38 
Batch 37 / 1000  time:  2023-06-30 22:14:22 
Batch 38 / 1000  time:  2023-06-30 22:26:09 
Batch 39 / 1000  time:  2023-06-30 22:37:59 
Batch 40 / 1000  time:  2023-06-30 22:49:45 
Batch 41 / 1000  time:  2023-06-30 23:01:34 
Batch 42 / 1000  time:  2023-06-30 23:13:20 
Batch 43 / 1000  time:  2023-06-30 23:25:09 
Batch 44 / 1000  time:  2023-06-30 23:37:03 
Batch 45 / 1000  time:  2023-06-30 23:48:47 
Batch 46 / 1000  time:  2023-07-01 00:00:35 
Batch 47 / 1000  time:  2023-07-01 00:12:24 
Batch 48 / 1000  time:  2023-07-01 00:24:13 
Batch 49 / 1000  time:  2023-07-01 00:36:00 
Batch 50 / 1000  time:  2023-07-01 00:47:48 
Batch 51 / 1000  time:  2023-07-01 00:59:35 
Batch 52 / 1000  time:  2023-07-01 01:11:28 
Batch 53 / 1000  time:  2023-07-01 01:23:23 
Batch 54 / 1000  time:  2023-07-01 01:35:09 
Batch 55 / 1000  time:  2023-07-01 01:47:00 
Batch 56 / 1000  time:  2023-07-01 01:58:46 
Batch 57 / 1000  time:  2023-07-01 02:10:36 
Batch 58 / 1000  time:  2023-07-01 02:22:21 
Batch 59 / 1000  time:  2023-07-01 02:34:07 
Batch 60 / 1000  time:  2023-07-01 02:45:53 
Batch 61 / 1000  time:  2023-07-01 02:57:43 
Batch 62 / 1000  time:  2023-07-01 03:09:33 
Batch 63 / 1000  time:  2023-07-01 03:21:28 
Batch 64 / 1000  time:  2023-07-01 03:33:11 
Batch 65 / 1000  time:  2023-07-01 03:44:55 
Batch 66 / 1000  time:  2023-07-01 03:56:38 
Batch 67 / 1000  time:  2023-07-01 04:08:29 
Batch 68 / 1000  time:  2023-07-01 04:20:21 
Batch 69 / 1000  time:  2023-07-01 04:32:08 
Batch 70 / 1000  time:  2023-07-01 04:43:54 
Batch 71 / 1000  time:  2023-07-01 04:55:40 
Batch 72 / 1000  time:  2023-07-01 05:07:26 
Batch 73 / 1000  time:  2023-07-01 05:19:08 
Batch 74 / 1000  time:  2023-07-01 05:30:54 
Batch 75 / 1000  time:  2023-07-01 05:42:45 
Batch 76 / 1000  time:  2023-07-01 05:54:35 
Batch 77 / 1000  time:  2023-07-01 06:06:31 
Batch 78 / 1000  time:  2023-07-01 06:18:18 
Batch 79 / 1000  time:  2023-07-01 06:30:04 
Batch 80 / 1000  time:  2023-07-01 06:41:48 
Batch 81 / 1000  time:  2023-07-01 06:53:38 
Batch 82 / 1000  time:  2023-07-01 07:05:24 
Batch 83 / 1000  time:  2023-07-01 07:17:10 
Batch 84 / 1000  time:  2023-07-01 07:29:02 
Batch 85 / 1000  time:  2023-07-01 07:40:47 
Batch 86 / 1000  time:  2023-07-01 07:52:32 
Batch 87 / 1000  time:  2023-07-01 08:04:15 
Batch 88 / 1000  time:  2023-07-01 08:16:01 
Batch 89 / 1000  time:  2023-07-01 08:27:51 
Batch 90 / 1000  time:  2023-07-01 08:39:35 
Batch 91 / 1000  time:  2023-07-01 08:51:21 
Batch 92 / 1000  time:  2023-07-01 09:03:04 
Batch 93 / 1000  time:  2023-07-01 09:14:50 
Batch 94 / 1000  time:  2023-07-01 09:26:34 
Batch 95 / 1000  time:  2023-07-01 09:38:26 
Batch 96 / 1000  time:  2023-07-01 09:50:09 
Batch 97 / 1000  time:  2023-07-01 10:01:55 
Batch 98 / 1000  time:  2023-07-01 10:13:40 
Batch 99 / 1000  time:  2023-07-01 10:25:23 
Batch 100 / 1000  time:  2023-07-01 10:37:11 
Batch 101 / 1000  time:  2023-07-01 10:48:56 
Batch 102 / 1000  time:  2023-07-01 11:00:47 
Batch 103 / 1000  time:  2023-07-01 11:12:32 
Batch 104 / 1000  time:  2023-07-01 11:24:23 
Batch 105 / 1000  time:  2023-07-01 11:36:08 
Batch 106 / 1000  time:  2023-07-01 11:47:53 
Batch 107 / 1000  time:  2023-07-01 11:59:46 
Batch 108 / 1000  time:  2023-07-01 12:11:30 
Batch 109 / 1000  time:  2023-07-01 12:23:13 
Batch 110 / 1000  time:  2023-07-01 12:34:59 
Batch 111 / 1000  time:  2023-07-01 12:46:43 
Batch 112 / 1000  time:  2023-07-01 12:58:28 
Batch 113 / 1000  time:  2023-07-01 13:10:12 
Batch 114 / 1000  time:  2023-07-01 13:22:05 
Batch 115 / 1000  time:  2023-07-01 13:33:48 
Batch 116 / 1000  time:  2023-07-01 13:45:34 
Batch 117 / 1000  time:  2023-07-01 13:57:26 
Batch 118 / 1000  time:  2023-07-01 14:09:17 
Batch 119 / 1000  time:  2023-07-01 14:20:59 
Batch 120 / 1000  time:  2023-07-01 14:32:51 
Batch 121 / 1000  time:  2023-07-01 14:44:45 
Batch 122 / 1000  time:  2023-07-01 14:56:35 
Batch 123 / 1000  time:  2023-07-01 15:08:24 
Batch 124 / 1000  time:  2023-07-01 15:20:12 
Batch 125 / 1000  time:  2023-07-01 15:31:56 
Batch 126 / 1000  time:  2023-07-01 15:43:48 
Batch 127 / 1000  time:  2023-07-01 15:55:27 
Batch 128 / 1000  time:  2023-07-01 16:07:12 
Batch 129 / 1000  time:  2023-07-01 16:19:02 
Batch 130 / 1000  time:  2023-07-01 16:30:52 
Batch 131 / 1000  time:  2023-07-01 16:42:39 
Batch 132 / 1000  time:  2023-07-01 16:54:29 
Batch 133 / 1000  time:  2023-07-01 17:06:13 
Batch 134 / 1000  time:  2023-07-01 17:17:56 
Batch 135 / 1000  time:  2023-07-01 17:29:46 
Batch 136 / 1000  time:  2023-07-01 17:41:37 
Batch 137 / 1000  time:  2023-07-01 17:53:25 
Batch 138 / 1000  time:  2023-07-01 18:05:16 
Batch 139 / 1000  time:  2023-07-01 18:16:59 
Batch 140 / 1000  time:  2023-07-01 18:28:50 
Batch 141 / 1000  time:  2023-07-01 18:40:34 
Batch 142 / 1000  time:  2023-07-01 18:52:27 
Batch 143 / 1000  time:  2023-07-01 19:04:13 
Batch 144 / 1000  time:  2023-07-01 19:15:57 
Batch 145 / 1000  time:  2023-07-01 19:27:41 
Batch 146 / 1000  time:  2023-07-01 19:39:31 
Batch 147 / 1000  time:  2023-07-01 19:51:21 
Batch 148 / 1000  time:  2023-07-01 20:03:08 
Batch 149 / 1000  time:  2023-07-01 20:14:52 
Batch 150 / 1000  time:  2023-07-01 20:26:37 
Batch 151 / 1000  time:  2023-07-01 20:38:22 
Batch 152 / 1000  time:  2023-07-01 20:50:07 
Batch 153 / 1000  time:  2023-07-01 21:01:57 
Batch 154 / 1000  time:  2023-07-01 21:13:44 
Batch 155 / 1000  time:  2023-07-01 21:25:29 
Batch 156 / 1000  time:  2023-07-01 21:37:19 
Batch 157 / 1000  time:  2023-07-01 21:49:03 
Batch 158 / 1000  time:  2023-07-01 22:00:50 
Batch 159 / 1000  time:  2023-07-01 22:12:41 
Batch 160 / 1000  time:  2023-07-01 22:24:31 
Batch 161 / 1000  time:  2023-07-01 22:36:19 
Batch 162 / 1000  time:  2023-07-01 22:48:03 
Batch 163 / 1000  time:  2023-07-01 22:59:53 
Batch 164 / 1000  time:  2023-07-01 23:11:38 
Batch 165 / 1000  time:  2023-07-01 23:23:22 
Batch 166 / 1000  time:  2023-07-01 23:35:06 
Batch 167 / 1000  time:  2023-07-01 23:46:51 
Batch 168 / 1000  time:  2023-07-01 23:58:34 
Batch 169 / 1000  time:  2023-07-02 00:10:18 
Batch 170 / 1000  time:  2023-07-02 00:22:02 
Batch 171 / 1000  time:  2023-07-02 00:33:54 
Batch 172 / 1000  time:  2023-07-02 00:45:45 
Batch 173 / 1000  time:  2023-07-02 00:57:41 
Batch 174 / 1000  time:  2023-07-02 01:09:30 
Batch 175 / 1000  time:  2023-07-02 01:21:17 
Batch 176 / 1000  time:  2023-07-02 01:33:08 
Batch 177 / 1000  time:  2023-07-02 01:45:02 
Batch 178 / 1000  time:  2023-07-02 01:56:48 
Batch 179 / 1000  time:  2023-07-02 02:08:35 
Batch 180 / 1000  time:  2023-07-02 02:20:22 
Batch 181 / 1000  time:  2023-07-02 02:32:18 
Batch 182 / 1000  time:  2023-07-02 02:44:06 
Batch 183 / 1000  time:  2023-07-02 02:55:52 
Batch 184 / 1000  time:  2023-07-02 03:07:43 
Batch 185 / 1000  time:  2023-07-02 03:19:31 
Batch 186 / 1000  time:  2023-07-02 03:31:17 
Batch 187 / 1000  time:  2023-07-02 03:43:07 
Batch 188 / 1000  time:  2023-07-02 03:54:55 
Batch 189 / 1000  time:  2023-07-02 04:06:44 
Batch 190 / 1000  time:  2023-07-02 04:18:32 
Batch 191 / 1000  time:  2023-07-02 04:30:23 
Batch 192 / 1000  time:  2023-07-02 04:42:12 
Batch 193 / 1000  time:  2023-07-02 04:54:02 
Batch 194 / 1000  time:  2023-07-02 05:05:48 
Batch 195 / 1000  time:  2023-07-02 05:17:36 
Batch 196 / 1000  time:  2023-07-02 05:29:25 
Batch 197 / 1000  time:  2023-07-02 05:41:14 
Batch 198 / 1000  time:  2023-07-02 05:53:05 
Batch 199 / 1000  time:  2023-07-02 06:04:52 
Batch 200 / 1000  time:  2023-07-02 06:16:41 
Batch 201 / 1000  time:  2023-07-02 06:28:28 
Batch 202 / 1000  time:  2023-07-02 06:40:16 
Batch 203 / 1000  time:  2023-07-02 06:52:04 
Batch 204 / 1000  time:  2023-07-02 07:03:54 
Batch 205 / 1000  time:  2023-07-02 07:15:42 
Batch 206 / 1000  time:  2023-07-02 07:27:31 
Batch 207 / 1000  time:  2023-07-02 07:39:18 
Batch 208 / 1000  time:  2023-07-02 07:51:09 
Batch 209 / 1000  time:  2023-07-02 08:02:59 
Batch 210 / 1000  time:  2023-07-02 08:14:47 
Batch 211 / 1000  time:  2023-07-02 08:26:33 
Batch 212 / 1000  time:  2023-07-02 08:38:20 
Batch 213 / 1000  time:  2023-07-02 08:50:09 
Batch 214 / 1000  time:  2023-07-02 09:02:01 
Batch 215 / 1000  time:  2023-07-02 09:13:48 
Batch 216 / 1000  time:  2023-07-02 09:25:34 
Batch 217 / 1000  time:  2023-07-02 09:37:20 
Batch 218 / 1000  time:  2023-07-02 09:49:13 
